panel,mechanism,evidenceClass,status,supportLevel,claimBoundary,forbiddenClaim,requiredNextEvidence
Direct dark money,Opaque donor routing and hidden electoral influence,direct/proxy gap,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Add curated direct dark-money or nonprofit-routing rows where available; use IRS 501(c)(4)/(c)(6) rows only as opaque-capacity proxies and keep Schedule E, electioneering, and communication-cost rows separate."
Outside spending,Independent expenditure pressure outside candidate finance,direct,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Broaden OpenFEC Schedule E, electioneering communication, communication-cost, independent-expenditure, and spender/payee coverage."
Electoral communications,Electioneering and communication-cost channels outside ordinary receipts,direct,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,Broaden OpenFEC electioneering and communication-cost coverage and keep these rows separate from direct dark-money evidence.
Public financing,Countervailing campaign finance and voucher/matching funds,direct program rows when present,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Broaden NYC matching-fund and Seattle voucher rows with federal, state, and additional local public-financing panels before treating uptake as representative."
Intermediaries,"Association, nonprofit, think-tank, and campaign-intermediary capacity",proxy,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Expand NYC CFB intermediary and IRS EO BMF rows with IRS 8871/8872, Form 990 XML, association, think-tank, and grantmaking exports."
IRS 527 political organizations,Political-organization receipts and disbursements for campaign-adjacent intermediaries,direct observed 527 filings,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Broaden beyond the default bounded IRS POFD alphabetic slice, preserve the electronic-filing scope note, and keep 527 political-organization rows separate from 501(c)(4)/(c)(6) hidden-donor evidence."
Revolving door,"Post-government access, covered-position links, and cooling-off exposure",proxy/thin,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Supplement LDA covered-position rows with OGE, FACA, witness, LegiStorm/OpenSecrets, or archived personnel movement exports."
Procurement identifiers,Vendor and award-path matching for procurement influence,direct identifier coverage,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,"Broaden SAM/FPDS and USAspending enrichment with PIID, UEI, action-date, modification, competition, exclusion, and protest fields."
Procurement concentration panel,Multi-agency vendor and agency concentration diagnostics,direct bounded SAM/USAspending action or top-award panel,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,Replace the bounded SAM/USAspending concentration panel with representative SAM/FPDS action-level extracts before treating agency concentration as calibrated.
Procurement action history,Transaction/action denominator for post-award modification incidence,direct primary SAM/USAspending action rows when present,usable,stronger,May support mechanism diagnostics and distributional anchoring within the stated source scope.,Do not present as a causal estimate or nationally representative policy effect.,Broaden the selected SAM/USAspending action panel with representative SAM/FPDS action-history extracts before treating modification incidence as calibration-grade.
Procurement modification risk,Post-award modification and specification-change pressure,proxy/thin,thin,limited,May support source-aware plausibility checks only; magnitude claims must be phrased as proxy-backed or thin.,Do not present as article-level calibration or validation of hidden-channel magnitude.,Validate nonzero modification numbers against representative SAM/FPDS action histories and separate transaction-action incidence from award-level modification incidence.
