claimKey,claimFamily,status,sourceSupport,strongDependencies,weakDependencies,momentChecks,permittedUse,avoidClaim,nextEvidence
lobbying-disclosure-surface,Lobbying disclosure surface,cleared,Source dependencies are usable for the stated mechanism or distributional diagnostic.,none,none,ldaRows=121 (ok); lobbyingClientTop3Share=0.8898 (ok),Distributional anchor for visible lobbying concentration and disclosure timing.,Do not generalize beyond the 2024 EPA/ENV source slice.,Broaden issue codes and agencies after the environmental slice remains stable.
visible-electoral-money,Visible electoral money,cleared,Source dependencies are usable for the stated mechanism or distributional diagnostic.,Outside spending,none,fecRows=1268 (ok); outsideSpendingRows=918 (ok),Distributional anchor for observed receipts and independent-expenditure pressure.,Do not treat visible FEC rows as direct dark-money or hidden-donor evidence.,"Add lobbyist bundling, broader electoral-communication coverage, and state/local overlays."
rulemaking-comment-record,Rulemaking comments,cleared,Source dependencies are usable for the stated mechanism or distributional diagnostic.,none,none,regulatoryRows=200 (ok); commentTemplateShareMean=0.46 (ok); commentAuthenticationShareMean=0.32 (ok),"Distributional anchor for docket volume, template saturation, and comment-authenticity diagnostics.",Do not infer causal comment effects or full agency-wide comment quality.,Expand docket-level duplicate/authenticity checks and agency coverage.
procurement-identifier-competition,Procurement identifiers,cleared,Source dependencies are usable for the stated mechanism or distributional diagnostic.,Procurement identifiers,none,procurementRows=200 (ok); procurementKnownPiidShare=1 (ok); procurementSingleBidShare=0.235 (ok),"Schema and distributional anchor for award identifiers, competition fields, and vendor matching.",Do not use identifier coverage as evidence of post-award modification incidence.,"Broaden SAM/FPDS fields and link exclusions, protests, and firewalls."
strategic-substitution-mechanism,Strategic substitution mechanism,bounded,"Bounded by weak panels: Direct dark money (thin), Revolving door (thin).",Outside spending; Intermediaries; IRS 527 political organizations; Procurement identifiers,Direct dark money (thin); Revolving door (thin),outsideSpendingRows=918 (ok); intermediaryRows=1353 (ok); intermediary527Rows=500 (ok); revolvingDoorRows=284 (ok),Mechanism tests and source-aware stress diagnostics for channel substitution.,Do not present hidden substitution magnitudes as empirically validated.,"Replace thin hidden-channel panels with direct routing, personnel, and transaction exports."
public-financing-counterweight,Public-financing counterweight,cleared,Source dependencies are usable for the stated mechanism or distributional diagnostic.,Public financing,none,publicFinancingRows=135 (ok); publicFinancingProgramCount=2 (ok),Bounded local-program anchor for countervailing campaign-finance mechanisms.,Do not claim representative national public-financing uptake.,"Add federal, state, and additional local program rows with archived source files."
revolving-door-cooling-off,Revolving-door access,bounded,Bounded by weak panels: Revolving door (thin).,none,Revolving door (thin),revolvingDoorRows=284 (ok); revolvingDoorConfidenceMean=0.74 (ok),Proxy-backed stress diagnostics for covered-position and cooling-off exposure.,Do not treat LDA covered-position rows as representative post-employment movement.,"Add OGE, FACA, witness, LegiStorm/OpenSecrets, or archived personnel movement exports."
hidden-channel-magnitude,Hidden-channel magnitude,not_cleared,"Not cleared because of weak panels: Direct dark money (thin), Revolving door (thin).",Electoral communications,Direct dark money (thin); Revolving door (thin),darkMoneySourceShare=0.0245 (ok); electoralCommunicationRows=268 (ok),Missingness and proxy-gap diagnosis for hidden-channel mechanisms.,Do not treat bounded electoral-communication rows as hidden-donor or hidden-channel magnitude evidence.,Add direct hidden-donor or nonprofit-routing evidence plus broader electoral-communication coverage.
procurement-modification-capture,Procurement modification capture,not_cleared,Not cleared because of weak panels: Procurement modification risk (thin).,Procurement concentration panel; Procurement action history,Procurement modification risk (thin),procurementConcentrationPanelAgencyCount=12 (ok); procurementActionRows=2399 (ok); procurementExPostModificationShare=0.3297 (ok),Coverage warning and schema check for modification and concentration pathways.,Do not claim calibrated national procurement-modification incidence or capture rates.,Populate representative SAM/FPDS action-level transaction denominators and validate modifications.
calibrated-policy-simulation,Calibrated policy simulation,not_cleared,"Not cleared because of weak panels: Direct dark money (thin), Revolving door (thin), Procurement modification risk (thin).",Electoral communications; Public financing; IRS 527 political organizations; Procurement concentration panel; Procurement action history,Direct dark money (thin); Revolving door (thin); Procurement modification risk (thin),electoralCommunicationRows=268 (ok); intermediary527Rows=500 (ok); procurementActionRows=2399 (ok),Not cleared; the current article can only use mechanism diagnostics and bounded source moments.,Do not describe the artifact as a calibrated policy-effect simulator.,Clear the P1/P2 source gaps and rerun validation before using calibrated policy language.
