item,category,status,evidence,nextAction
status,metadata,ready,status=pending,Use status=pending for review-bundle circulation and status=complete only after all manual checks are signed.
reviewed-release,metadata,ready,reviewed-release=paper-publication-readiness-2026-06-19-r203; expected-release=paper-publication-readiness-2026-06-19-r203,Set reviewed-release to the current release tag before final signoff.
venue-target,metadata,ready,venue-target=Regulation & Governance,Keep the venue target aligned with the Regulation & Governance manuscript template.
author-guidelines-url,metadata,ready,url=matches,Record the official Regulation & Governance author-guidelines URL.
signed-off-by,human-signoff,manual_required,signed-off-by=missing,Fill this field during the final human scholarly read-through.
signed-off-date,human-signoff,manual_required,signed-off-date=missing,Fill this field during the final human scholarly read-through.
reviewed-commit,human-signoff,manual_required,reviewed-commit=missing,Fill this field during the final human scholarly read-through.
doi-archive,human-signoff,manual_required,doi-archive=missing,Fill this field during the final human scholarly read-through.
author-guidelines-checked-by,live-author-page,ready,author-guidelines-checked-by=present,Recheck the live Regulation & Governance author page and record any superseding instructions before final submission.
author-guidelines-checked-date,live-author-page,ready,checked-date=2026-06-19; release-date=2026-06-19; stale=no,Recheck the live Regulation & Governance author page and record any superseding instructions before final submission.
author-guidelines-superseding-instructions,live-author-page,ready,superseding-instructions=none,Recheck the live Regulation & Governance author page and record any superseding instructions before final submission.
live-author-page-checklist-01,live-author-page-checklist,ready,checked; item=Open the live author page named in `author-guidelines-url` immediately before journal submission.,Retain this checked item with the signed release record.
live-author-page-checklist-02,live-author-page-checklist,ready,"checked; item=Confirm the target journal, article type, word limit, title-page expectations, disclosure expectations, supporting-information expectations, and LaTeX/package requirements still match the generated bundle.",Retain this checked item with the signed release record.
live-author-page-checklist-03,live-author-page-checklist,ready,"checked; item=Record checker, date, and superseding-instruction status in the fields above.",Retain this checked item with the signed release record.
scholarly-readthrough-checklist-01,scholarly-readthrough-checklist,manual_required,unchecked; item=Abstract states the mechanism-model contribution without implying calibrated policy-effect estimation.,Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-02,scholarly-readthrough-checklist,manual_required,"unchecked; item=Introduction separates model assumptions, synthetic results, and empirical bridge scope.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-03,scholarly-readthrough-checklist,manual_required,"unchecked; item=Literature positioning explains the regulatory-governance contribution relative to lobbying, capture, venue-shifting, and ABM validation work.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-04,scholarly-readthrough-checklist,manual_required,"unchecked; item=Model specification is internally consistent with the ODD-style supplement and does not leave unresolved equations, parameters, or diagnostic definitions.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-05,scholarly-readthrough-checklist,manual_required,unchecked; item=Results describe synthetic mechanism behavior and do not present reform rankings as real-world policy estimates.,Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-06,scholarly-readthrough-checklist,manual_required,"unchecked; item=Empirical bridge language is bounded to source moments, source-panel coverage, and validation-gap diagnostics.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-07,scholarly-readthrough-checklist,manual_required,"unchecked; item=Tables and figures are referenced in order, readable in the Wiley PDF, and not duplicative or misleading.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-08,scholarly-readthrough-checklist,manual_required,"unchecked; item=Limitations identify open source panels, causal-calibration targets, and construct-validity risks without self-rejecting submission language.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-09,scholarly-readthrough-checklist,manual_required,"unchecked; item=Data and Code Availability names the exact release, repository, license, DOI archive if available, and excluded private/raw credentialed payloads.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-10,scholarly-readthrough-checklist,manual_required,unchecked; item=Archive-handoff manifest checksums match the final release assets and DOI-deposit asset set.,Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-11,scholarly-readthrough-checklist,manual_required,unchecked; item=Zenodo deposit preflight and any unpublished draft metadata match the signed-off release before a DOI record is published.,Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-12,scholarly-readthrough-checklist,manual_required,"unchecked; item=References are complete enough for the target venue and do not contain placeholder or ""planned validation"" entries.",Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-13,scholarly-readthrough-checklist,manual_required,unchecked; item=AI Use Disclosure and declarations match journal expectations.,Complete and check this item during the human scholarly read-through.
scholarly-readthrough-checklist-14,scholarly-readthrough-checklist,manual_required,"unchecked; item=The final release ZIP, PDFs, supplement, reports, and metadata match the signed-off release tag.",Complete and check this item during the human scholarly read-through.
overall-final-human-readthrough,record,manual_required,release=paper-publication-readiness-2026-06-19-r203; status=pending; blocked=0; manual_required=18; checkedChecklistItems=3/17,Complete unchecked scholarly items and signoff fields before final journal submission.
